processor,OBJECTID,V,H,dimensions_km,grid_code,xmin,ymin,xmax,ymax,centroid_latitude_dd,centroid_longitude_dd,Shape_Length,Shape_Area,dist_full,dist_boreal,dist_south,dist_temp
1,137,8,35,50x50,AK050H035V008,-499995,2000005,-449995,2050005,67.82184971,-165.2424295,2e+05,2.5e+09,TRUE,TRUE,FALSE,FALSE
1,138,8,36,50x50,AK050H036V008,-449995,2000005,-399995,2050005,67.89403987,-164.0781237,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,139,8,37,50x50,AK050H037V008,-399995,2000005,-349995,2050005,67.95839659,-162.9075416,2e+05,2.5e+09,TRUE,TRUE,FALSE,FALSE
1,140,8,38,50x50,AK050H038V008,-349995,2000005,-299995,2050005,68.01485489,-161.7313651,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,141,8,39,50x50,AK050H039V008,-299995,2000005,-249995,2050005,68.06335708,-160.5502968,2e+05,2.5e+09,TRUE,TRUE,FALSE,FALSE
1,142,8,40,50x50,AK050H040V008,-249995,2000005,-199995,2050005,68.10385316,-159.3650572,2e+05,2.5e+09,TRUE,TRUE,FALSE,FALSE
1,143,8,41,50x50,AK050H041V008,-199995,2000005,-149995,2050005,68.13630102,-158.176383,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,144,8,42,50x50,AK050H042V008,-149995,2000005,-99995,2050005,68.16066668,-156.9850235,2e+05,2.5e+09,TRUE,TRUE,FALSE,FALSE
1,145,8,43,50x50,AK050H043V008,-99995,2000005,-49995,2050005,68.1769245,-155.7917385,2e+05,2.5e+09,TRUE,TRUE,FALSE,FALSE
1,146,8,44,50x50,AK050H044V008,-49995,2000005,5.000000004,2050005,68.18505731,-154.5972954,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,147,8,45,50x50,AK050H045V008,5.000000004,2000005,50005,2050005,68.1850565,-153.4024657,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,148,8,46,50x50,AK050H046V008,50005,2000005,100005,2050005,68.17692206,-152.2080227,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,149,8,47,50x50,AK050H047V008,100005,2000005,150005,2050005,68.16066261,-151.0147381,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,150,8,48,50x50,AK050H048V008,150005,2000005,200005,2050005,68.13629534,-149.823379,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,151,8,49,50x50,AK050H049V008,200005,2000005,250005,2050005,68.10384587,-148.6347054,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,152,8,50,50x50,AK050H050V008,250005,2000005,300005,2050005,68.06334818,-147.4494666,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,153,8,51,50x50,AK050H051V008,300005,2000005,350005,2050005,68.01484439,-146.2683991,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,154,8,52,50x50,AK050H052V008,350005,2000005,400005,2050005,67.95838451,-145.0922237,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,155,8,53,50x50,AK050H053V008,400005,2000005,450005,2050005,67.89402621,-143.9216428,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,156,8,54,50x50,AK050H054V008,450005,2000005,500005,2050005,67.8218345,-142.7573383,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,157,8,55,50x50,AK050H055V008,500005,2000005,550005,2050005,67.74188137,-141.5999695,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,158,8,56,50x50,AK050H056V008,550005,2000005,600005,2050005,67.65424548,-140.4501709,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,159,8,57,50x50,AK050H057V008,600005,2000005,650005,2050005,67.55901172,-139.3085508,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,160,8,58,50x50,AK050H058V008,650005,2000005,700005,2050005,67.45627083,-138.1756893,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,161,8,59,50x50,AK050H059V008,700005,2000005,750005,2050005,67.34611893,-137.0521374,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,162,8,60,50x50,AK050H060V008,750005,2000005,800005,2050005,67.22865716,-135.9384159,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,163,8,61,50x50,AK050H061V008,800005,2000005,850005,2050005,67.10399115,-134.8350141,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,165,9,36,50x50,AK050H036V009,-449995,1950005,-399995,2000005,67.44776857,-163.9026553,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,166,9,37,50x50,AK050H037V009,-399995,1950005,-349995,2000005,67.51091743,-162.7519429,2e+05,2.5e+09,TRUE,TRUE,FALSE,FALSE
1,167,9,38,50x50,AK050H038V009,-349995,1950005,-299995,2000005,67.56631028,-161.5959207,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,168,9,39,50x50,AK050H039V009,-299995,1950005,-249995,2000005,67.61389278,-160.4352571,2e+05,2.5e+09,TRUE,TRUE,FALSE,FALSE
1,169,9,40,50x50,AK050H040V009,-249995,1950005,-199995,2000005,67.65361786,-159.2706368,2e+05,2.5e+09,TRUE,TRUE,FALSE,FALSE
1,170,9,41,50x50,AK050H041V009,-199995,1950005,-149995,2000005,67.68544588,-158.1027592,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,171,9,42,50x50,AK050H042V009,-149995,1950005,-99995,2000005,67.70934488,-156.9323355,2e+05,2.5e+09,TRUE,TRUE,FALSE,FALSE
1,172,9,43,50x50,AK050H043V009,-99995,1950005,-49995,2000005,67.72529075,-155.7600864,2e+05,2.5e+09,TRUE,TRUE,FALSE,FALSE
1,173,9,44,50x50,AK050H044V009,-49995,1950005,5.000000004,2000005,67.73326734,-154.5867394,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,174,9,45,50x50,AK050H045V009,5.000000004,1950005,50005,2000005,67.73326654,-153.4130259,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,175,9,46,50x50,AK050H046V009,50005,1950005,100005,2000005,67.72528836,-152.239679,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,176,9,47,50x50,AK050H047V009,100005,1950005,150005,2000005,67.7093409,-151.0674302,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,177,9,48,50x50,AK050H048V009,150005,1950005,200005,2000005,67.68544031,-149.8970069,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,178,9,49,50x50,AK050H049V009,200005,1950005,250005,2000005,67.6536107,-148.7291299,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,179,9,50,50x50,AK050H050V009,250005,1950005,300005,2000005,67.61388405,-147.5645104,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,180,9,51,50x50,AK050H051V009,300005,1950005,350005,2000005,67.56629998,-146.4038476,200000,2500000000,TRUE,TRUE,FALSE,FALSE
